state,drvr_fatl_col_bmiles,perc_fatl_speed,perc_fatl_alcohol,perc_fatl_1st_time,million_miles_annually
Alabama,18.8,39,30,80,64914
Alaska,18.1,41,25,94,4593
Arizona,18.6,35,28,96,59575
Arkansas,22.4,18,26,95,32953
California,12,35,28,89,320784
Colorado,13.6,37,28,95,46606
Connecticut,10.8,46,36,82,31197
Delaware,16.2,38,30,99,9028
District of Columnia,5.9,34,27,100,3568
Florida,17.9,21,29,94,191855
Georgia,15.6,19,25,93,108454
Hawaii,17.5,54,41,87,10066
Idaho,15.3,36,29,98,15937
Illinois,12.8,36,34,96,103234
Indiana,14.5,25,29,95,76485
Iowa,15.7,17,25,87,31274
Kansas,17.8,27,24,85,30021
Kentucky,21.4,19,23,76,48061
Louisiana,20.5,35,33,98,46513
Maine,15.1,38,30,84,14248
Maryland,12.5,34,32,99,56221
Massachusetts,8.2,23,35,80,54792
Michigan,14.1,24,28,77,94754
Minnesota,9.6,23,29,88,56685
Mississippi,17.6,15,31,100,38851
Missouri,16.1,43,34,84,68789
Montana,21.4,39,44,85,11660
Nebraska,14.9,13,35,90,19093
Nevada,14.7,37,32,99,24189
New Hampshire,11.6,35,30,83,12720
New Jersey,11.2,16,28,78,73094
New Mexico,18.4,19,27,98,25650
New York,12.3,32,29,80,127726
North Carolina,16.8,39,31,81,103772
North Dakota,23.9,23,42,86,9131
Ohio,14.1,28,34,82,111990
Oklahoma,19.9,32,29,94,47464
Oregon,12.8,33,26,90,33373
Pennsylvania,18.2,50,31,88,99204
Rhode Island,11.1,34,38,79,7901
South Carolina,23.9,38,41,81,48730
South Dakota,19.4,31,33,86,9002
Tennessee,19.5,21,29,81,70751
Texas,19.4,40,38,87,237440
Utah,11.3,43,16,96,26222
Vermont,13.6,30,30,95,7141
Virginia,12.7,19,27,88,80974
Washington,10.6,42,33,86,56955
West Virginia,23.8,34,28,87,18963
Wisconsin,13.8,36,33,84,58554
Wyoming,17.4,42,32,90,9245
